customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,Yes,62,Yes,No,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,94.24,7,No
CUST00001,Female,1,Yes,Yes,11,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,One year,No,Mailed check,94.24,8,Yes
CUST00002,Male,0,No,No,10,Yes,Yes,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,94.24,.,No
CUST00003,Male,0,Yes,Yes,12,Yes,Yes,No,No,Yes,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),94.24,8,No
CUST00004,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,94.24,4,No
CUST00005,Female,1,Yes,No,26,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),94.24,5,No
CUST00006,Male,0,Yes,Yes,66,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No,One year,No,Credit card (automatic),94.24, ,No
CUST00007,Male,0,No,Yes,44,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,94.24,5,Yes
CUST00008,Male,0,No,No,66,Yes,No phone service,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),94.24,8,Yes
CUST00009,Female,0,No,No,21,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Electronic check,94.24,8,No
CUST00010,Male,0,No,No,41,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No,Two year,No,Mailed check,94.24,7,Yes
CUST00011,Male,0,No,Yes,19,No,Yes,No,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,94.24,,No
CUST00012,Male,0,No,No,47,No,No phone service,No,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),94.24,8,No
CUST00013,Male,0,No,Yes,17,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),94.24,4,No
CUST00014,Female,0,Yes,No,69,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,94.24,5,No
CUST00015,Male,0,No,No,5,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,94.24,7,No
CUST00016,Female,0,No,No,38,No,Yes,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,94.24, ,No
CUST00017,Female,0,No,No,10,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),94.24,,No
CUST00018,Female,1,No,Yes,24,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),94.24,8,Yes
