customerID,Churn_Probability,Churn_Risk_Segment,Actual_Churn,tenure,MonthlyCharges,service_count,Contract,PaymentMethod
CUST04885,0.4678488624846223,Medium Risk,0,0,94.24,4,One year,Credit card (automatic)
CUST01946,0.4577523187000039,Medium Risk,1,0,94.24,3,One year,Mailed check
CUST04706,0.44319181189009255,Medium Risk,0,0,94.24,1,Two year,Credit card (automatic)
CUST02099,0.44319181189009255,Medium Risk,1,0,94.24,1,One year,Credit card (automatic)
CUST00906,0.4362008536880732,Medium Risk,0,0,94.24,2,Month-to-month,Bank transfer (automatic)
CUST03474,0.4362008536880732,Medium Risk,1,0,94.24,2,Month-to-month,Bank transfer (automatic)
CUST04722,0.43613483249763546,Medium Risk,0,0,94.24,3,Month-to-month,Bank transfer (automatic)
CUST04030,0.43299647888035325,Medium Risk,0,0,94.24,3,Two year,Electronic check
CUST04728,0.43299647888035325,Medium Risk,1,0,94.24,3,Two year,Mailed check
CUST01276,0.4171230666470436,Medium Risk,0,0,94.24,1,Month-to-month,Electronic check
CUST02581,0.4017963571103446,Medium Risk,0,0,94.24,3,Month-to-month,Electronic check
CUST02923,0.364245810739467,Low Risk,0,1,94.24,1,One year,Credit card (automatic)
CUST01373,0.3641679872592586,Low Risk,1,0,94.24,2,Month-to-month,Credit card (automatic)
CUST00104,0.3612776961425693,Low Risk,1,0,94.24,1,One year,Electronic check
CUST01183,0.3610918704278046,Low Risk,0,0,94.24,4,Two year,Electronic check
CUST06528,0.355432730209338,Low Risk,0,0,94.24,4,Month-to-month,Credit card (automatic)
CUST06821,0.3548325533269033,Low Risk,0,1,94.24,1,One year,Mailed check
CUST04439,0.3547710980978643,Low Risk,0,1,94.24,2,One year,Electronic check
CUST02415,0.35469416955364147,Low Risk,0,0,94.24,3,Month-to-month,Mailed check
CUST05661,0.3533619096432148,Low Risk,1,1,94.24,4,Two year,Bank transfer (automatic)
CUST03784,0.34116714572256496,Low Risk,1,0,94.24,4,Month-to-month,Bank transfer (automatic)
CUST00073,0.3366562881963846,Low Risk,1,2,94.24,4,One year,Electronic check
CUST04272,0.3366562881963846,Low Risk,0,2,94.24,4,One year,Electronic check
CUST00901,0.3324695608541879,Low Risk,0,1,94.24,3,One year,Credit card (automatic)
CUST02820,0.3317669782466744,Low Risk,1,2,94.24,4,Two year,Credit card (automatic)
CUST01703,0.33041968005007355,Low Risk,0,2,94.24,2,One year,Electronic check
CUST04051,0.32340094627031857,Low Risk,1,1,94.24,4,Two year,Mailed check
CUST06425,0.32282562768380985,Low Risk,0,2,94.24,3,Two year,Electronic check
CUST05713,0.3222300369800314,Low Risk,0,1,94.24,3,One year,Bank transfer (automatic)
CUST04814,0.3163849680542693,Low Risk,0,3,94.24,2,One year,Bank transfer (automatic)
CUST03493,0.31632690686838877,Low Risk,0,3,94.24,3,Two year,Bank transfer (automatic)
CUST03712,0.3129998301827815,Low Risk,1,3,94.24,2,One year,Bank transfer (automatic)
CUST00696,0.3122106563701542,Low Risk,0,3,94.24,1,One year,Credit card (automatic)
CUST06852,0.31209537231881285,Low Risk,1,3,94.24,3,One year,Credit card (automatic)
CUST03484,0.3120377390149038,Low Risk,0,3,94.24,4,Two year,Credit card (automatic)
CUST06683,0.31146314461427227,Low Risk,1,4,94.24,5,One year,Bank transfer (automatic)
CUST05804,0.30929585539758586,Low Risk,1,1,94.24,3,Month-to-month,Mailed check
CUST06135,0.30850741157995104,Low Risk,1,3,94.24,1,Two year,Electronic check
CUST05482,0.3084946223188308,Low Risk,0,69,94.24,4,Two year,Credit card (automatic)
CUST03731,0.30816088092538624,Low Risk,0,66,94.24,0,One year,Credit card (automatic)
CUST03971,0.3076101226328351,Low Risk,0,3,94.24,2,Two year,Electronic check
CUST04403,0.3076101226328351,Low Risk,0,3,94.24,2,One year,Mailed check
CUST01557,0.3072914589035063,Low Risk,0,4,94.24,3,Two year,Bank transfer (automatic)
CUST05338,0.3072914589035063,Low Risk,0,4,94.24,3,One year,Bank transfer (automatic)
CUST04947,0.3064914778192446,Low Risk,1,58,94.24,3,One year,Credit card (automatic)
CUST01245,0.30599991408742294,Low Risk,0,5,94.24,4,One year,Mailed check
CUST02044,0.30531391387287127,Low Risk,0,52,94.24,4,One year,Bank transfer (automatic)
CUST01714,0.304640773333908,Low Risk,0,49,94.24,6,Two year,Bank transfer (automatic)
CUST03033,0.3046214291806205,Low Risk,0,1,94.24,3,Month-to-month,Bank transfer (automatic)
CUST01367,0.3043649976767012,Low Risk,0,2,94.24,3,One year,Electronic check
